steamid,player_name,team_clan_name,map_count,tapd_ct,tapd_t,tapd_overall,oap_ct,oap_t,oap_overall,podt_ct,podt_t,podt_overall,pokt_ct,pokt_t,pokt_overall,adnt_rank_ct,adnt_rank_t,adnt_rank_overall,adat_rank_ct,adat_rank_t,adat_rank_overall,role_overall,role_t,role_ct
76561198137348442,supLex,YNG Sharks,6,68.76279862451737,63.04684029628642,64.93744728449461,17.56756756756757,11.940298507462687,14.893617021276595,13.706563706563706,26.341506751954512,20.033241337997282,10.844594594594595,28.70646766169154,18.762549507230357,0.5243243243243243,0.45970149253731346,0.5163120567375887,0.3783783783783784,0.31940298507462683,0.39290780141843973,,,
76561198307734468,rdnzao,YNG Sharks,6,64.6237964527027,62.26002983593935,63.585115564556354,24.324324324324323,16.417910447761194,20.56737588652482,23.53281853281853,33.26226012793177,26.1629088840735,12.837837837837837,33.57498223169864,23.98202270542696,0.8054054054054054,0.7313432835820896,0.8241134751773049,0.8054054054054054,0.6656716417910448,0.7645390070921986,Flex,Spacetaker,Rotator
76561197984266377,PwnAlone,BOSS,6,60.92455832741477,61.064027485994394,61.96692632318853,20.3125,13.235294117647058,16.666666666666668,20.553977272727273,15.429505135387487,18.04195804195804,26.635551948051948,25.51247771836007,26.135265700483092,0.8875,0.5352941176470588,0.7272727272727273,0.734375,0.30588235294117655,0.6045454545454546,,,
76561198065606574,HENU,JANO,6,53.415698260073256,53.450762146074645,53.4232760989011,15.384615384615383,24.324324324324323,20.14388489208633,25.948717948717945,29.649292149292148,25.304428283998185,12.637362637362635,18.524774774774773,14.879723550352262,0.7046153846153845,0.7081081081081082,0.7107913669064748,0.6984615384615386,0.6864864864864865,0.6705035971223022,,,
76561198013172503,sx,JANO,6,45.45008012820513,50.88382953265766,47.57444368131868,27.692307692307693,18.91891891891892,23.02158273381295,29.23076923076923,19.48198198198198,24.193180919799627,5.917159763313609,34.86603486603487,13.491185073918887,0.7630769230769231,0.8378378378378378,0.781294964028777,0.6,0.8702702702702704,0.7611510791366907,,,
76561198162408395,d4rty,BOSS,6,69.74941786728897,50.1151570855615,60.176173027139136,18.749999999999996,23.529411764705884,21.21212121212121,18.889339826839826,31.430481283422456,25.961640927273915,15.0390625,26.470588235294116,22.57641348550439,0.525,0.40588235294117647,0.4651515151515152,0.559375,0.47058823529411764,0.5257575757575758,,,
76561198002942763,acoR,GamerLegion,6,61.65759242957746,62.39255014047743,60.46910005181591,19.718309859154925,4.081632653061225,13.333333333333334,28.63849765258216,17.393785352969026,21.569832643202208,14.453386988598256,34.08163265306123,21.85690943043884,0.7549295774647887,0.4979591836734694,0.77,0.6676056338028169,0.44081632653061226,0.6083333333333333,,,
76561198380323585,sNx,Rebels Gaming,5,49.53665528711484,53.714770047169814,52.16189958938121,11.904761904761905,19.51219512195122,15.662650602409638,15.79831932773109,17.278444825614635,17.84455128205128,5.294117647058823,15.525606469002696,10.9739539306847,0.7411764705882352,0.709433962264151,0.7211538461538461,0.5882352941176471,0.5924528301886793,0.5634615384615385,,,
76561198417348056,dav1g,Movistar KOI,5,57.11186224489796,56.67475043402778,52.9909691003441,23.80952380952381,22.916666666666668,23.333333333333332,22.58503401360544,27.85984848484848,25.002805836139167,17.46031746031746,16.805555555555554,16.258309591642924,0.39047619047619053,0.35208333333333336,0.36888888888888893,0.4,0.4000000000000001,0.39555555555555555,,,
76561198839305865,Xant3r,Nemiga Gaming,5,61.09950589664573,58.20659033289241,61.597137417973826,21.27659574468085,17.999999999999996,19.587628865979383,31.140610801627748,24.11816578483245,27.844225801132303,18.44229217110573,22.248677248677247,22.832133451602477,0.535593220338983,0.7296296296296296,0.6247787610619469,0.6067796610169491,0.725925925925926,0.5345132743362833,Flex,Half-Lurker,Anchor
